source,brand,model,generation,generation_start_year,year,car_age,price,city,region,mileage_km,mileage_missing,mileage_per_year,is_new,is_low_mileage,is_high_mileage,body_type,engine_volume_l,engine_missing,fuel_type,transmission,drive_type,steering_wheel,color,customs_cleared,photo_count,options_count,has_abs,has_airbags,has_leather,has_heated_seats,has_ac,has_cruise_control,has_rear_camera,has_parking_sensors,has_bluetooth,has_alloy_wheels,has_sunroof,has_panorama,has_remote_start,is_fresh_import,tax_paid,inspection_passed
kolesa_full,AITO,M7 Plus 4WD 5s,2025 - н.в. 2 поколение,2025,2025,1,23200000,Алматы,Алматинская область,-1.0,1,-1.0,1,0,0,suv,1.5,0,hybrid,automatic,awd,left,серый металлик,1,13,39,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
kolesa_full,AITO,M7 Ultra 4WD 5s,2022 - 2024 1 поколение,2022,2025,1,26300000,Алматы,Алматинская область,-1.0,1,-1.0,1,0,0,crossover,1.5,0,hybrid,automatic,awd,left,серебристый,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,AITO,M7 Ultra 4WD 5s,2025 - н.в. 2 поколение,2025,2026,0,25000000,Астана,Акмолинская область,-1.0,1,-1.0,1,0,0,suv,1.5,0,hybrid,automatic,awd,left,серый,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,AITO,M9 Ultra 5s,2023 - н.в. 1 поколение,2023,2025,1,45700000,Алматы,Алматинская область,-1.0,1,-1.0,1,0,0,suv,1.5,0,hybrid,automatic,awd,left,синий,1,13,48,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
kolesa_full,AITO,M9 Ultra 6s,2023 - н.в. 1 поколение,2023,2025,1,46700000,Алматы,Алматинская область,-1.0,1,-1.0,1,0,0,suv,1.5,0,hybrid,automatic,awd,left,черный,1,18,49,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
kolesa_full,Alfa,Romeo Tonale,2022 - н.в. 1 поколение,2022,2024,2,31000000,Алматы,Алматинская область,11.0,0,5.5,0,1,0,crossover,1.5,0,petrol,robot,fwd,left,unknown,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,Audi,100,1982 - 1988 3 поколение (C3),1982,1986,40,990000,Шардара,Туркестанская область,1234.0,0,30.85,0,1,0,sedan,1.8,0,petrol-gas,manual,fwd,left,серый,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,Audi,100,1988 - 1991 3 поколение рестайлинг (С3),1988,1989,37,950000,Жаркент,Жетысуская область,555555.0,0,15015.0,0,0,1,sedan,2.3,0,petrol,manual,fwd,left,синий,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,Audi,100,1988 - 1991 3 поколение рестайлинг (С3),1988,1989,37,750000,Алматы,Алматинская область,7777.0,0,210.1891891891892,0,1,0,sedan,2.3,0,petrol,manual,fwd,left,серый,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolesa_full,Audi,100,1990 - 1994 4 поколение (C4),1990,1990,36,1500000,Шымкент,Туркестанская область,333012.0,0,9250.333333333334,0,0,1,sedan,2.3,0,petrol,manual,fwd,left,синий,1,6,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
kolesa_full,Audi,100,1988 - 1991 3 поколение рестайлинг (С3),1988,1990,36,1300000,Шымкент,Туркестанская область,333333.0,0,9259.25,0,0,1,sedan,2.3,0,petrol,manual,fwd,left,серебристый металлик,1,14,12,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
kolesa_full,Audi,100,1990 - 1994 4 поколение (C4),1990,1991,35,2500000,Талдыкорган,Жетысуская область,390000.0,0,11142.857142857143,0,0,1,sedan,2.8,0,petrol,automatic,fwd,left,зеленый металлик,1,27,28,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1
