iter	RMSE
0	0.9882642978
1	0.9679114659
2	0.9484071036
3	0.9289714972
4	0.9087727157
5	0.8904323337
6	0.8709992656
7	0.8530047676
8	0.8366171464
9	0.8192704329
10	0.8036442111
11	0.7882429342
12	0.7728766006
13	0.7582975994
14	0.7442157155
15	0.7305161828
16	0.717309171
17	0.7043711776
18	0.692510995
19	0.6812405412
20	0.6694270881
21	0.6578887217
22	0.6473784066
23	0.6363901781
24	0.6257420301
25	0.6152521221
26	0.6063205435
27	0.5968189103
28	0.5877309503
29	0.5788086433
30	0.5706955711
31	0.562985258
32	0.5554420499
33	0.5477821773
34	0.5404623573
35	0.5334586051
36	0.5262006395
37	0.5195306642
38	0.5126632171
39	0.5061943203
40	0.5003974471
41	0.4942353312
42	0.4883765872
43	0.4827383449
44	0.477806608
45	0.4723309154
46	0.4675284108
47	0.4630271396
48	0.4587858484
49	0.45469824
50	0.4501938445
51	0.4462040511
52	0.4424382086
53	0.4389425927
54	0.4349742026
55	0.4315783568
56	0.4281749872
57	0.4242579406
58	0.4205118254
59	0.4170761819
60	0.4140627935
61	0.4109850644
62	0.4078849032
63	0.4051009212
64	0.4026381308
65	0.3996420385
66	0.3971317824
67	0.394145754
68	0.3910713856
69	0.3885568074
70	0.3859846596
71	0.3834636163
72	0.3813224951
73	0.3791353379
74	0.3770103976
75	0.375227757
76	0.3731608484
77	0.3709562748
78	0.3690167837
79	0.367366367
80	0.3658912619
81	0.3641021352
82	0.3623997214
83	0.3606803837
84	0.3588864784
85	0.3572937379
86	0.3559093799
87	0.3544952834
88	0.353271592
89	0.3524125781
90	0.3512192585
91	0.3499336078
92	0.3488757073
93	0.3475291603
94	0.3460549075
95	0.3449891161
96	0.3440749019
97	0.3430732457
98	0.342132945
99	0.3409880577
100	0.3401210289
101	0.3390944699
102	0.3382130483
103	0.3371057114
104	0.3360812258
105	0.3351934242
106	0.3344197577
107	0.3336036918
108	0.3327022551
109	0.3321039561
110	0.3315892311
111	0.330969461
112	0.330229748
113	0.3294147456
114	0.328804511
115	0.3279461427
116	0.3268608122
117	0.3263994338
118	0.3257670542
119	0.3252534662
120	0.3245756124
121	0.3240894907
122	0.3237700661
123	0.323152956
124	0.3230015206
125	0.3223064793
126	0.3217507378
127	0.3210979033
128	0.3206029729
129	0.3205672955
130	0.3199932227
131	0.3194652181
132	0.3189417708
133	0.3184295722
134	0.3181712173
135	0.317819986
136	0.3173871517
137	0.3168089657
138	0.3164522139
139	0.3161939686
140	0.3158536915
141	0.3158208752
142	0.3152602295
143	0.3149099399
144	0.3145314394
145	0.3141488714
146	0.3135780323
147	0.3131718624
148	0.3131394098
149	0.3126603306
