iter	Passed	Remaining
0	4	47740
1	7	39399
2	10	34849
3	12	32061
4	14	29438
5	17	28501
6	19	27758
7	21	26275
8	23	25998
9	25	25620
10	28	25561
11	30	25118
12	32	24620
13	34	24671
14	37	24745
15	39	24830
16	41	24644
17	43	24233
18	45	23905
19	47	23592
20	49	23517
21	51	23391
22	53	23158
23	55	23158
24	57	22995
25	59	23002
26	61	22836
27	63	22665
28	65	22580
29	67	22323
30	68	22058
31	70	21959
32	72	22013
33	75	22161
34	78	22396
35	80	22309
36	82	22164
37	84	22138
38	86	22130
39	88	22061
40	91	22135
41	93	22218
42	95	22116
43	97	21990
44	99	22023
45	101	21916
46	103	21841
47	105	21790
48	107	21736
49	108	21626
50	110	21647
51	112	21534
52	114	21473
53	116	21413
54	118	21423
55	120	21400
56	122	21335
57	124	21296
58	125	21175
59	127	21163
60	129	21079
61	131	21053
62	132	20957
63	134	20904
64	136	20866
65	138	20895
66	141	20938
67	142	20864
68	144	20846
69	146	20761
70	148	20727
71	149	20679
72	151	20600
73	153	20625
74	155	20623
75	157	20574
76	159	20614
77	161	20592
78	164	20675
79	166	20623
80	167	20570
81	169	20557
82	172	20571
83	174	20606
84	176	20603
85	178	20544
86	180	20551
87	182	20525
88	184	20536
89	186	20505
90	188	20499
91	191	20624
92	194	20671
93	196	20671
94	198	20675
95	200	20704
96	202	20720
97	205	20763
98	207	20745
99	209	20773
100	211	20759
101	214	20773
102	216	20802
103	218	20798
104	221	20902
105	224	20953
106	226	20954
107	229	21047
108	232	21106
109	235	21129
110	237	21143
111	239	21137
112	242	21231
113	244	21240
114	247	21249
115	248	21215
116	251	21221
117	253	21187
118	254	21173
119	257	21189
120	259	21146
121	261	21166
122	263	21159
123	265	21138
124	268	21192
125	270	21202
126	272	21223
127	274	21205
128	276	21185
129	279	21247
130	281	21237
131	283	21211
132	285	21181
133	288	21222
134	290	21227
135	293	21258
136	295	21281
137	298	21309
138	301	21366
139	303	21364
140	305	21347
141	307	21359
142	309	21358
143	311	21332
144	313	21301
145	315	21289
146	317	21283
147	319	21280
148	321	21280
149	324	21314
150	326	21314
151	329	21334
152	331	21306
153	333	21351
154	336	21369
155	338	21345
156	341	21430
157	342	21333
158	344	21320
159	346	21334
160	349	21381
161	352	21422
162	354	21401
163	356	21383
164	360	21463
165	362	21464
166	364	21490
167	367	21503
168	369	21484
169	371	21497
170	373	21494
171	376	21496
172	378	21479
173	380	21482
174	382	21494
175	385	21499
176	388	21537
177	390	21526
178	391	21506
179	393	21487
180	395	21464
181	398	21485
182	400	21479
183	401	21403
184	403	21394
185	405	21376
186	406	21348
187	408	21332
188	410	21313
189	412	21297
190	414	21292
191	416	21281
192	418	21290
193	420	21270
194	422	21266
195	424	21242
196	427	21264
197	429	21270
198	432	21277
199	434	21309
200	436	21295
201	437	21219
202	439	21201
203	441	21191
204	443	21190
205	445	21172
206	447	21170
207	448	21094
208	449	21042
209	451	21040
210	453	21028
211	456	21063
212	458	21051
213	460	21036
214	461	21022
215	464	21026
216	464	20956
217	467	20960
218	469	20956
219	470	20929
220	473	20931
221	475	20953
222	477	20942
223	479	20932
224	480	20864
225	482	20862
226	484	20839
227	485	20811
228	487	20795
229	489	20782
230	491	20787
231	493	20769
232	495	20761
233	498	20793
234	499	20775
235	501	20752
236	502	20713
237	504	20702
238	507	20713
239	508	20674
240	509	20633
241	511	20622
242	513	20617
243	515	20603
244	517	20604
245	519	20585
246	521	20585
247	523	20575
248	525	20569
249	527	20586
250	530	20604
251	532	20606
252	534	20598
253	537	20615
254	539	20602
255	541	20614
256	542	20564
257	545	20605
258	547	20586
259	549	20571
260	551	20590
261	553	20583
262	555	20559
263	557	20557
264	558	20520
265	560	20503
266	561	20473
267	563	20457
268	563	20401
269	565	20389
270	567	20366
271	569	20384
272	571	20374
273	572	20318
274	574	20330
275	576	20297
276	578	20289
277	578	20239
278	580	20219
279	582	20205
280	583	20183
281	585	20185
282	588	20192
283	589	20166
284	591	20167
285	593	20151
286	594	20120
287	596	20100
288	597	20065
289	599	20057
290	602	20086
291	603	20065
292	605	20060
293	607	20052
294	608	20028
295	610	20023
296	612	20015
297	614	19993
298	615	19964
299	617	19950
300	619	19950
301	621	19959
302	624	19973
303	626	19974
304	627	19939
305	629	19932
306	629	19890
307	631	19879
308	634	19902
309	635	19867
310	637	19860
311	639	19854
312	640	19829
313	643	19861
314	644	19830
315	647	19851
316	649	19839
317	651	19827
318	651	19786
319	653	19775
320	656	19780
321	658	19797
322	659	19768
323	661	19758
324	663	19750
325	665	19762
326	667	19759
327	669	19746
328	671	19747
329	673	19727
330	675	19743
331	677	19731
332	679	19734
333	681	19721
334	683	19718
335	685	19711
336	687	19701
337	688	19688
338	690	19676
339	692	19675
340	695	19687
341	697	19694
342	698	19665
343	699	19646
344	701	19639
345	703	19639
346	705	19617
347	706	19600
348	708	19603
349	710	19597
350	712	19595
351	714	19594
352	717	19594
353	718	19582
354	720	19582
355	722	19570
356	725	19597
357	727	19585
358	728	19566
359	731	19578
360	733	19574
361	735	19580
362	737	19568
363	738	19559
364	741	19572
365	744	19585
366	745	19576
367	747	19558
368	749	19560
369	751	19552
370	753	19553
371	755	19547
372	757	19541
373	759	19544
374	762	19567
375	764	19575
376	766	19574
377	768	19570
378	770	19564
379	772	19560
380	774	19560
381	777	19567
382	780	19599
383	782	19598
384	784	19585
385	786	19577
386	787	19571
387	790	19592
388	794	19635
389	797	19648
390	799	19640
391	801	19640
392	802	19622
393	805	19631
394	808	19657
395	811	19674
396	813	19671
397	815	19677
398	818	19683
399	820	19691
400	823	19702
401	825	19710
402	828	19727
403	829	19712
404	832	19716
405	833	19695
406	835	19692
407	837	19685
408	839	19696
409	842	19709
410	844	19714
411	847	19717
412	849	19723
413	851	19725
414	854	19729
415	856	19734
416	859	19740
417	861	19743
418	863	19749
419	866	19757
420	867	19749
421	869	19745
422	871	19735
423	874	19748
424	877	19768
425	879	19761
426	882	19782
427	885	19797
428	887	19798
429	890	19811
430	893	19833
431	896	19849
432	898	19848
433	900	19856
434	903	19865
435	906	19873
436	909	19907
437	912	19921
438	914	19921
439	916	19915
440	918	19914
441	921	19930
442	924	19937
443	927	19953
444	929	19957
445	932	19972
446	934	19964
447	935	19954
448	937	19950
449	939	19947
450	942	19957
451	945	19966
452	947	19959
453	949	19963
454	951	19953
455	953	19958
456	956	19967
457	958	19975
458	961	19983
459	963	19985
460	965	19984
461	967	19981
462	970	19996
463	972	19995
464	976	20023
465	979	20035
466	981	20026
467	984	20048
468	986	20040
469	988	20047
470	990	20043
471	992	20040
472	995	20052
473	997	20052
474	999	20044
475	1001	20043
476	1004	20048
477	1005	20033
478	1008	20036
479	1009	20029
480	1012	20034
481	1013	20022
482	1015	20009
483	1017	20003
484	1019	20000
485	1020	19986
486	1022	19976
487	1024	19968
488	1026	19966
489	1029	19982
490	1031	19971
491	1033	19974
492	1036	19981
493	1037	19973
494	1039	19968
495	1041	19965
496	1044	19963
497	1045	19955
498	1048	19963
499	1050	19968
500	1052	19959
501	1055	19965
502	1057	19969
503	1059	19965
504	1061	19958
505	1063	19960
506	1067	19990
507	1069	19982
508	1071	19977
509	1073	19972
510	1075	19968
511	1078	19981
512	1080	19979
513	1082	19969
514	1084	19965
515	1085	19958
516	1087	19949
517	1089	19947
518	1091	19943
519	1094	19947
520	1096	19952
521	1098	19942
522	1101	19955
523	1103	19949
524	1106	19971
525	1109	19976
526	1111	19978
527	1113	19970
528	1115	19966
529	1118	19989
530	1121	19990
531	1122	19983
532	1124	19977
533	1126	19972
534	1129	19981
535	1131	19974
536	1133	19971
537	1135	19971
538	1138	19978
539	1140	19974
540	1143	19987
541	1145	19986
542	1147	19984
543	1149	19975
544	1151	19969
545	1152	19962
546	1154	19958
547	1157	19958
548	1158	19951
549	1160	19944
550	1163	19946
551	1165	19940
552	1166	19927
553	1168	19922
554	1170	19913
555	1172	19909
556	1173	19901
557	1175	19898
558	1177	19892
559	1179	19886
560	1181	19885
561	1183	19877
562	1185	19870
563	1186	19859
564	1188	19847
565	1189	19831
566	1191	19825
567	1193	19816
568	1195	19809
569	1197	19805
570	1199	19815
571	1202	19828
572	1205	19825
573	1207	19823
574	1208	19816
575	1211	19820
576	1214	19826
577	1216	19830
578	1219	19836
579	1220	19829
580	1223	19837
581	1227	19868
582	1231	19886
583	1233	19888
584	1235	19883
585	1237	19881
586	1239	19874
587	1241	19874
588	1243	19864
589	1245	19860
590	1247	19853
591	1249	19850
592	1251	19849
593	1252	19840
594	1255	19844
595	1258	19852
596	1260	19846
597	1261	19839
598	1265	19857
599	1267	19852
600	1269	19850
601	1272	19858
602	1274	19859
603	1277	19867
604	1279	19862
605	1281	19871
606	1283	19864
607	1286	19871
608	1288	19872
609	1291	19874
610	1293	19875
611	1295	19878
612	1297	19872
613	1299	19864
614	1300	19851
615	1302	19847
616	1305	19852
617	1307	19852
618	1309	19848
619	1311	19847
620	1313	19843
621	1315	19832
622	1317	19832
623	1319	19830
624	1321	19821
625	1323	19825
626	1325	19817
627	1328	19832
628	1331	19836
629	1333	19831
630	1335	19827
631	1337	19822
632	1340	19830
633	1341	19818
634	1343	19820
635	1345	19812
636	1347	19809
637	1350	19809
638	1351	19801
639	1353	19798
640	1355	19794
641	1357	19787
642	1359	19777
643	1360	19771
644	1363	19774
645	1365	19765
646	1366	19757
647	1368	19744
648	1370	19752
649	1372	19737
650	1373	19731
651	1375	19726
652	1377	19722
653	1380	19722
654	1382	19720
655	1383	19706
656	1385	19698
657	1387	19702
658	1389	19700
659	1392	19704
660	1393	19694
661	1396	19697
662	1398	19692
663	1399	19683
664	1401	19676
665	1403	19666
666	1404	19659
667	1406	19651
668	1408	19644
669	1410	19635
670	1411	19629
671	1413	19620
672	1415	19615
673	1417	19610
674	1419	19605
675	1420	19597
676	1422	19587
677	1425	19595
678	1427	19592
679	1429	19595
680	1431	19590
681	1433	19584
682	1435	19580
683	1436	19569
684	1438	19566
685	1440	19558
686	1443	19561
687	1444	19556
688	1447	19558
689	1448	19549
690	1450	19544
691	1453	19546
692	1454	19537
693	1456	19527
694	1458	19521
695	1460	19520
696	1462	19519
697	1464	19518
698	1466	19510
699	1469	19518
700	1470	19508
701	1472	19504
702	1474	19498
703	1476	19493
704	1478	19489
705	1480	19485
706	1481	19475
707	1483	19474
708	1485	19471
709	1487	19465
710	1489	19459
711	1491	19453
712	1494	19461
713	1495	19452
714	1497	19441
715	1498	19433
716	1500	19423
717	1502	19426
718	1504	19418
719	1506	19415
720	1507	19407
721	1509	19394
722	1510	19387
723	1512	19384
724	1514	19377
725	1517	19386
726	1519	19382
727	1521	19374
728	1523	19375
729	1525	19374
730	1527	19373
731	1529	19367
732	1531	19367
733	1534	19371
734	1536	19366
735	1538	19369
736	1540	19359
737	1542	19356
738	1543	19345
739	1545	19338
740	1547	19333
741	1549	19333
742	1551	19325
