source,brand,model,year,price,city,mileage_km,mileage_missing,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,car_age,is_new
cars_ml,Toyota,Highlander Luxe,2017,17590000,Астана,230186,0,crossover,3.5,petrol,automatic,awd,left,черный,used,9,0
cars_ml,Rox,01 VIP,2026,30490000,Алматы,-1,1,suv,1.5,hybrid,automatic,awd,left,unknown,unknown,0,0
cars_ml,Hyundai,Elantra,2020,7700000,Алматы,183426,0,sedan,2.0,petrol,automatic,fwd,left,серый металлик,used,6,0
cars_ml,Kia,Sportage,2014,7000000,Петропавловск,114500,0,crossover,2.0,petrol,manual,fwd,left,серый,used,12,0
cars_ml,Toyota,Land Cruiser Prado,2014,14999999,Актобе,-1,1,suv,2.7,petrol,automatic,awd,left,unknown,unknown,12,0
cars_ml,Lynk,& Co 900 2.0T Ultra,2025,31500000,Алматы,-1,1,crossover,2.0,hybrid,automatic,awd,left,unknown,unknown,1,0
cars_ml,BYD,Sea Lion 06,2025,14800000,Алматы,10,0,crossover,1.5,hybrid,variator,fwd,left,серый,used,1,0
cars_ml,Toyota,Avalon,2020,21500000,Астана,90000,0,sedan,3.5,petrol,automatic,fwd,left,unknown,used,6,0
cars_ml,Hyundai,Tucson,2020,11000000,Алматы,112000,0,crossover,2.0,petrol,automatic,awd,left,серый металлик,used,6,0
cars_ml,Audi,Q5,2012,7500000,Алматы,174000,0,crossover,2.0,petrol,automatic,awd,left,черный металлик,used,14,0
cars_ml,Toyota,RAV4,2022,17999999,Астана,75000,0,crossover,2.5,hybrid,variator,awd,left,белый,used,4,0
cars_ml,Lexus,LX 570,2010,22000000,Шымкент,-1,1,suv,5.7,petrol,automatic,awd,left,unknown,unknown,16,0
cars_ml,Toyota,Camry,2012,8800000,Алматы,186000,0,sedan,2.5,hybrid,variator,fwd,left,unknown,used,14,0
cars_ml,Toyota,Camry,2009,8200000,Шымкент,197000,0,sedan,3.5,petrol,automatic,fwd,left,unknown,used,17,0
cars_ml,Renault,Scenic,2001,1550000,Шымкент,200000,0,minivan,1.6,petrol,automatic,fwd,left,серый,used,25,0
cars_ml,Changan,X5 Plus,2025,7900000,Алматы,-1,1,crossover,1.5,petrol,robot,fwd,left,белый металлик,unknown,1,0
cars_ml,Toyota,Camry,2016,5300000,Актау,174444,0,sedan,2.5,petrol,automatic,fwd,left,коричневый металлик,used,10,0
cars_ml,Kia,Cerato,2011,4300000,Алматы,255714,0,sedan,1.6,petrol,automatic,fwd,left,unknown,used,15,0
cars_ml,Changan,Eado,2025,7200000,Алматы,-1,1,sedan,1.5,petrol,automatic,fwd,left,белый,unknown,1,0
cars_ml,Land,Rover Range Rover,2010,10999999,Алматы,368671,0,suv,3.6,diesel,automatic,awd,left,unknown,used,16,0
cars_ml,Mercedes-Benz,C 180,1995,830000,Уральск,465000,0,sedan,1.8,petrol,manual,rwd,left,синий,used,31,0
cars_ml,Lexus,RX 300,2000,4300000,Атырау,-1,1,crossover,3.0,petrol,automatic,awd,left,бежевый металлик,unknown,26,0
cars_ml,Genesis,GV80 2.5T,2025,44417022,Алматы,-1,1,crossover,2.5,petrol,automatic,awd,left,серебристый,unknown,1,0
cars_ml,Toyota,Camry,2006,5500000,Астана,270000,0,sedan,2.4,petrol,automatic,fwd,left,черный,used,20,0
cars_ml,ВАЗ,(Lada) Priora 2170,2014,4000000,Усть-Каменогорск,233000,0,sedan,1.6,petrol,manual,fwd,left,черный,used,12,0
cars_ml,Ravon,R4,2019,4900000,Шымкент,114000,0,sedan,1.5,petrol,automatic,fwd,left,белый,used,7,0
cars_ml,Toyota,Cresta,1996,3000000,Алматы,500000,0,sedan,2.5,petrol,automatic,rwd,right,белый,used,30,0
cars_ml,Mini,Countryman,2015,8500000,Астана,160213,0,crossover,1.6,petrol,automatic,fwd,left,синий металлик,used,11,0
cars_ml,Mercedes-Benz,E 320,2001,4850000,Алматы,160000,0,sedan,3.2,petrol,automatic,rwd,left,синий металлик,used,25,0
cars_ml,Toyota,Land Cruiser Prado,2013,14500000,Астана,240364,0,suv,2.7,petrol,automatic,awd,left,unknown,used,13,0
cars_ml,Toyota,RAV4,2000,3000000,Актобе,449773,0,crossover,2.0,petrol,manual,awd,left,зеленый,used,26,0
cars_ml,Li,L6,2025,22500000,Астана,100,0,crossover,1.5,hybrid,automatic,awd,left,черный,used,1,0
cars_ml,Kia,Sorento,2022,16800000,Шымкент,112560,0,crossover,2.5,petrol,automatic,fwd,left,серебристый металлик,used,4,0
cars_ml,Toyota,Land Cruiser Prado,1997,6300000,Алматы,300000,0,suv,3.0,diesel,automatic,awd,right,серебристый металлик,used,29,0
cars_ml,RAM,1500,2023,32000000,Астана,72000,0,pickup,5.7,petrol,automatic,rwd,left,unknown,used,3,0
cars_ml,Toyota,Camry Luxe eCVT,2025,24990000,Астана,16361,0,sedan,2.5,hybrid,variator,fwd,left,unknown,used,1,0
cars_ml,Toyota,Land Cruiser,2011,17500000,Астана,320000,0,suv,4.7,petrol,automatic,awd,left,черный,used,15,0
cars_ml,Nissan,X-Trail,2017,7690000,Алматы,129000,0,crossover,2.5,petrol,variator,awd,left,unknown,used,9,0
